id,object_id,area,confidence,class_name,x1,y1,x2,y2
42953,1,33100.402,0.99663705,person,14.414126,33.95176,209.8958,203.27914
42953,2,35210.21,0.8786646,person,75.512634,208.36649,266.28027,392.93768
23058,1,171329.44,0.9927578,person,377.65265,54.574993,753.698,510.1834
23058,2,120560.65,0.97876287,person,109.96406,161.97621,428.99365,539.8742
23058,3,5311.506,0.9057413,tie,454.69324,266.0045,499.67014,384.09857
13894,1,111790.08,0.99590886,cat,46.83361,28.71427,378.8796,365.38474
13894,2,79673.45,0.9800115,cat,174.96695,422.4189,398.80023,778.3689
37408,1,43453.996,0.99720776,dog,248.92355,74.20632,419.46924,329.0002
37408,2,214030.58,0.9796987,dog,39.105343,365.53,567.0185,770.95764
82403,1,64224.035,0.99697685,person,272.7233,32.261806,456.59677,381.54565
82403,2,699.2691,0.9498394,tie,376.2039,78.70241,394.72577,116.456085
16952,1,68972.625,0.9977729,person,45.291782,-4.7158556,261.28586,314.6106
16952,2,64713.395,0.9920231,person,201.56514,28.921524,426.99002,315.9945
16952,3,31613.055,0.9244166,person,382.347,2.2301214,496.40622,279.39362
16952,4,23720.752,0.9084267,person,256.3855,-12.868564,348.98416,243.29875
16952,5,3700.7917,0.6430769,person,467.49573,101.586754,513.64246,181.78294
16952,6,3435.4143,0.54008883,person,215.26268,128.52634,260.82288,203.93019
76932,1,208515.89,0.9744955,dog,302.5823,16.306099,792.49835,441.92166
76932,2,83119.42,0.8832572,dog,2.9827852,273.10834,348.19254,513.8878
70914,1,319648.88,0.99616545,person,14.097033,112.64097,662.5293,605.5974
02973,1,51582.94,0.9777442,dog,148.78677,66.34011,379.49854,289.92188
58306,1,17093.309,0.99720216,person,35.478504,344.31158,170.25217,471.14133
58306,2,13888.052,0.96835166,person,41.234676,480.054,170.11227,587.81555
58306,3,8260.733,0.8548917,person,72.10294,246.52596,160.08794,340.41394
79351,1,88873.19,0.99986446,person,-3.094942,47.92607,277.1417,365.0623
34096,1,135428.25,0.9863363,remote,141.7388,153.7144,779.1024,366.19632
25489,1,328552.9,0.99871963,person,27.386858,42.082825,688.17725,539.2948
19324,1,37259.414,0.9886137,person,191.97488,106.29922,351.89105,339.29263
19324,2,43216.47,0.9270951,person,264.41937,102.843575,538.98254,260.2444
19324,3,12934.3125,0.89005315,person,117.0916,53.530018,239.545,159.15642
19324,4,3316.5615,0.74207,person,165.21684,96.26762,210.99174,168.72133
19324,5,33637.65,0.69272935,sofa,60.955196,112.562256,327.46112,238.77953
19324,6,104.36707,0.5750906,book,319.88333,87.21422,325.83395,104.75307
19324,7,103.99925,0.5035662,book,309.38107,85.95924,314.87427,104.891624
79346,1,234233.14,0.99708104,person,-23.565086,405.00317,611.64935,773.74976
79346,2,102047.32,0.98078346,person,167.20082,41.35955,456.90378,393.6077
13426,1,46681.355,0.9833954,person,292.0485,39.786358,445.76233,343.47635
13426,2,3975.1768,0.9646822,person,405.31442,36.647003,449.0197,127.601135
13426,3,161783.9,0.93578357,person,11.149619,9.395864,458.8178,370.78833
13426,4,2277.1914,0.8251603,person,379.4686,31.814127,410.95322,104.141235
13426,5,3108.3054,0.57554674,person,398.14282,22.677658,430.88965,117.59695
97628,1,149929.62,0.99880975,person,98.09977,252.75233,429.5737,705.0643
97628,2,103838.76,0.89594746,sofa,-3.9901733,218.98563,197.42865,734.52216
14238,1,97766.16,0.99979466,person,8.248828,37.971924,293.77042,380.38443
28936,1,61521.543,0.97502816,person,191.18552,33.14753,420.34048,301.61887
28936,2,70527.09,0.87685883,sofa,38.338764,162.37132,442.18893,337.00812
59784,1,27150.031,0.99571764,person,358.3281,162.22594,447.34744,467.21616
02146,1,30472.143,0.998168,bird,51.107517,117.18112,177.61197,358.05914
02146,2,14907.294,0.9978774,bird,209.60818,245.6076,342.82452,357.5105
02146,3,50150.43,0.9977098,bird,387.40024,157.64525,612.96643,379.97656
02146,4,29278.363,0.9591442,bird,645.98737,230.91617,787.3568,438.02148
70146,1,238545.61,0.88750535,person,15.1971655,63.09649,670.58057,427.0752
70146,2,141242.22,0.6043426,dog,203.2927,74.52462,631.824,404.12067
28061,1,48834.402,0.9982201,person,289.83902,479.9645,457.87143,770.5894
28061,2,18227.195,0.95448756,person,180.69614,86.03467,281.31546,267.18472
97180,1,23800.13,0.9988348,person,247.48634,105.02756,378.9581,286.05603
97180,2,38598.867,0.99283475,person,34.55063,84.696465,202.81291,314.0935
97180,3,40123.992,0.9862136,person,376.04025,7.2287145,509.4273,308.03748
49752,1,313484.4,0.99785525,person,82.70534,65.2938,700.0763,573.06696
49752,2,19377.14,0.95095754,tie,291.85742,290.1715,396.60736,475.15625
49752,3,7661.673,0.61751956,cup,227.59097,157.48312,300.70544,262.27322
25610,1,111458.914,0.998681,person,501.83218,97.04283,746.67993,552.2601
15872,1,268926.8,0.9995935,person,129.67467,66.49243,727.93274,516.00885
15872,2,7424.7383,0.6711334,tie,393.05328,409.64813,464.24512,513.9401
72640,1,185986.89,0.988305,person,78.8304,160.08832,487.01422,615.7332
64318,1,76689.336,0.9893775,person,23.995724,25.847641,242.72432,376.4618
64318,2,14746.141,0.954378,cake,51.811264,233.33612,174.10643,353.9144
64318,3,10852.602,0.5736411,person,173.26027,41.40951,247.28575,188.01581
17956,1,320020.12,0.99995124,person,109.063866,47.321598,775.4463,527.5565
17956,2,15661.576,0.99900234,tie,451.78552,356.2989,539.74304,534.3573
93547,1,37353.375,0.9851213,person,204.75294,40.501213,372.42838,263.27313
10743,1,168928.42,0.9993541,person,38.2567,43.631535,369.13846,554.17163
10743,2,24306.367,0.59143853,person,1.0678684,6.322,44.384323,567.4567
10743,3,61979.75,0.57249653,person,654.4408,2.7780037,819.15576,379.0629
10743,4,31709.857,0.52813,car,493.4894,97.505936,709.17896,244.52214
37091,1,190941.61,0.9988321,person,5.1634793,12.575459,357.45065,554.581
37091,2,3966.0361,0.9132272,cup,553.1904,404.75388,632.1454,454.9855
37091,3,7227.233,0.91301495,knife,271.58774,414.59378,401.25174,470.33194
37091,4,5940.4805,0.8388616,bottle,366.10126,258.87463,407.7164,401.62268
37091,5,1783.3376,0.6434791,orange,532.74725,444.77908,586.97736,477.66373
37091,6,3935.5518,0.5549999,cup,490.81216,389.47342,568.1097,440.38776
25719,1,26555.744,0.9949109,car,142.76987,109.62712,415.93008,206.84386
25719,2,35421.17,0.7510721,person,222.31187,72.810005,351.94443,346.0529
25719,3,1826.6534,0.5476791,car,1.6697037,95.01705,54.558907,129.55441
76825,1,11815.461,0.9985224,person,446.08206,32.985737,514.20264,206.43495
76825,2,58187.434,0.99519163,person,187.43939,40.953407,379.92258,343.2522
76825,3,16928.707,0.99385434,person,369.23398,29.209509,446.1292,249.36238
76825,4,3789.6785,0.9855632,person,174.80893,39.298332,216.08046,131.1214
76825,5,46370.984,0.9848478,person,38.943626,45.135635,191.08434,349.92572
